#Coordinate, 61.46667_2.16667
YY,MM,DD,HH,Min,CD317,CS317
1984,7,14,18,50,218.3,1.1
1984,7,14,19,00,302.6,1
1984,7,14,19,10,6.2,1.1
1984,7,14,19,20,39.8,1
1984,7,14,19,30,64.6,1.1
1984,7,14,19,40,82.6,1.1
1984,7,14,19,50,91.9,2
1984,7,14,20,00,89.2,2.3
1984,7,14,20,10,88.5,2
1984,7,14,20,20,84.9,3.5
1984,7,14,20,30,99.8,4.8
1984,7,14,20,40,111,5.7
1984,7,14,20,50,111.7,5.7
1984,7,14,21,00,113.5,6.7
1984,7,14,21,10,120.1,7.6
1984,7,14,21,20,124.6,7.3
1984,7,14,21,30,126.7,7.9
1984,7,14,21,40,126,10.1
1984,7,14,21,50,126.7,10.7
1984,7,14,22,00,133.3,10.7
1984,7,14,22,10,133.7,11.4
1984,7,14,22,20,133.3,10.7
1984,7,14,22,30,139.6,11.1
1984,7,14,22,40,148.4,10.7
1984,7,14,22,50,147.6,11.1
1984,7,14,23,00,153.6,11.1
1984,7,14,23,10,155,10.7
1984,7,14,23,20,157.8,11.1
1984,7,14,23,30,153.3,11.1
1984,7,14,23,40,153.3,11.1
1984,7,14,23,50,159.9,11.1
1984,7,15,0,00,157.1,11.1
1984,7,15,0,10,158.8,12.6
1984,7,15,0,20,158.1,12.3
1984,7,15,0,30,160.6,12.3
1984,7,15,0,40,163.1,12
1984,7,15,0,50,164.8,12
1984,7,15,1,00,167.9,12
1984,7,15,1,10,168.6,11.7
1984,7,15,1,20,165.5,11.1
1984,7,15,1,30,170,11.1
1984,7,15,1,40,174.6,11.1
1984,7,15,1,50,179.8,11.1
1984,7,15,2,00,177.4,11.1
1984,7,15,2,10,183.6,10.1
1984,7,15,2,20,191.3,9.5
1984,7,15,2,30,196.5,8.6
1984,7,15,2,40,205.9,8.9
1984,7,15,2,50,207.4,8.9
1984,7,15,3,00,204.2,8.2
1984,7,15,3,10,201.4,8.2
1984,7,15,3,20,208,7
1984,7,15,3,30,209.4,6
1984,7,15,3,40,212.6,5.4
1984,7,15,3,50,217.8,5.7
1984,7,15,4,00,224.9,4.5
1984,7,15,4,10,226.2,3.6
1984,7,15,4,20,236.3,4.2
1984,7,15,4,30,245.4,3.9
1984,7,15,4,40,243.3,2.9
1984,7,15,4,50,237.1,2.3
1984,7,15,5,00,229.6,1.3
1984,7,15,5,10,217.1,1.4
1984,7,15,5,20,274.7,1
1984,7,15,5,30,287.6,1
1984,7,15,5,40,304.5,1
1984,7,15,5,50,11.6,1
1984,7,15,6,00,41.6,1.1
1984,7,15,6,10,47.5,1.1
1984,7,15,6,20,45,1
1984,7,15,6,30,40.9,1.1
1984,7,15,6,40,48.7,1
1984,7,15,6,50,45.7,1
1984,7,15,7,00,43.8,1.1
1984,7,15,7,10,45.1,3.9
1984,7,15,7,20,61.8,4.2
1984,7,15,7,30,75.4,4.2
1984,7,15,7,40,76.1,4.2
1984,7,15,7,50,81.7,4.5
1984,7,15,8,00,87,5.1
1984,7,15,8,10,97.7,5.7
1984,7,15,8,20,102.2,5.7
1984,7,15,8,30,112.7,5.7
1984,7,15,8,40,110,7
1984,7,15,8,50,107.8,7.6
1984,7,15,9,00,110.3,7.6
1984,7,15,9,10,99.1,7.3
1984,7,15,9,20,100.9,8.2
1984,7,15,9,30,106.8,8.2
1984,7,15,9,40,112.4,8.2
1984,7,15,9,50,121.8,8.9
1984,7,15,10,00,124.3,9.2
1984,7,15,10,10,128.8,9.8
1984,7,15,10,20,133,9.8
1984,7,15,10,30,125.7,10.4
1984,7,15,10,40,130.5,11.1
1984,7,15,10,50,135.1,11.1
1984,7,15,11,00,137.9,11.4
1984,7,15,11,10,140,11.7
1984,7,15,11,20,144.2,11.4
1984,7,15,11,30,145.2,12
1984,7,15,11,40,144.5,12.3
1984,7,15,11,50,145.6,11.4
1984,7,15,12,00,151.2,10.7
1984,7,15,12,10,151.2,10.7
1984,7,15,12,20,151.5,10.7
1984,7,15,12,30,158.1,11.4
1984,7,15,12,40,166.5,11.1
1984,7,15,12,50,168.3,9.5
1984,7,15,13,00,168.3,8.2
1984,7,15,13,10,163,7.6
1984,7,15,13,20,162.3,8.5
1984,7,15,13,30,157.4,8.9
1984,7,15,13,40,148.4,9.2
1984,7,15,13,50,153.6,9.5
1984,7,15,14,00,148,8.9
1984,7,15,14,10,147,8.6
1984,7,15,14,20,139,7.9
1984,7,15,14,30,141.7,7.6
1984,7,15,14,40,144.9,7.9
1984,7,15,14,50,143.8,8.2
1984,7,15,15,00,145.6,7.9
1984,7,15,15,10,147,7.6
1984,7,15,15,20,157.8,7
1984,7,15,15,30,166.5,5.4
1984,7,15,15,40,166.6,4.8
1984,7,15,15,50,164.1,4.8
1984,7,15,16,00,166.9,5.4
1984,7,15,16,10,166.9,5.1
1984,7,15,16,20,162.7,5.1
1984,7,15,16,30,160.6,4.8
1984,7,15,16,40,163.8,4.8
1984,7,15,16,50,166.2,3.9
1984,7,15,17,00,171.4,2.9
1984,7,15,17,10,172.8,2.6
1984,7,15,17,20,170.5,2.9
1984,7,15,17,30,171.1,2.9
1984,7,15,17,40,168.9,1.4
1984,7,15,17,50,164.5,1
1984,7,15,18,00,153.4,1.1
1984,7,15,18,10,171,1
