u,v
0.15436218,1.22466035
0.10830892,2.87118880
0.17977085,-2.61549780
0.12903939,-2.19698441
0.10936637,-0.08717347
0.22168330,0.40228877
0.18561293,0.44026266
0.02058188,-0.41190103
0.13846744,-2.24656992
0.13346824,-2.10321604
0.06393959,-0.34167545
0.18287744,0.47752936
0.17715329,0.56133843
0.04344404,1.86588655
0.16713717,-2.86073468
0.16861387,-2.79477006
0.03779813,2.91188895
0.17494735,0.76985540
0.23263624,0.71298044
0.12826613,1.08671734
0.11861654,2.95055486
0.16180430,-2.80481103
0.07020775,-2.73396115
0.12541182,0.66014678
0.19211727,0.67057309
0.08115539,1.11522122
0.15491076,-2.88829995
0.19913999,-2.62199034
0.10930181,-2.53965043
0.10508277,0.41999363
0.21694589,0.50480306
0.15971074,0.48159441
0.04472298,-2.51610763
0.18163602,-2.32197106
0.15649441,-2.04072328
0.09498224,-0.52058081
0.17803490,0.13826071
0.13113947,0.05727993
0.11549998,-2.14384839
0.23189734,-2.24035794
0.19246496,-2.09489872
0.10320189,-0.99263594
0.19724130,0.01763977
0.21712247,0.15239284
0.04420720,-0.19170919
0.14336953,-2.45388613
0.16491843,-2.42140482
0.04288475,-2.49552961
0.11662435,0.82537683
0.14774055,0.93671491
0.10063531,2.38064264
0.21032320,-3.02641667
0.17972638,-3.05692845
0.11476755,2.25675035
0.23250072,1.31683988
0.29183389,1.20974913
0.23366936,1.64059634
0.22496712,2.48083504
0.21373225,2.84422750
0.15418125,2.50284210
0.17953860,1.53917422
0.21217074,1.27388371
0.15567379,1.82889836
0.20002408,2.96304923
0.21466686,-2.97448074
0.12704951,-2.99113486
0.06907390,1.14153609
0.16705691,0.76679566
0.12732593,0.81285823
0.07231565,3.01975021
0.16505407,-2.51850595
0.12463139,-2.18814235
0.05580593,-0.19482156
0.14142398,0.46596375
0.09462094,0.71555311
0.09514324,-3.02392174
0.18540770,-2.64658104
0.13714725,-2.52025673
0.02234030,-0.00819654
0.15092550,0.61122295
0.15870416,0.65942404
0.04263067,1.69568409
0.12136603,-2.66849861
0.12902093,-2.28588801
0.03884588,-1.03118523
0.12365624,0.45702519
0.12461162,0.68965835
0.04889614,2.51307172
0.15628719,-2.77239998
0.14759989,-2.53879414
0.04036093,-2.20159394
0.10931976,0.54989924
0.15563406,0.70377689
0.07241805,1.21705668
0.08960718,-3.04334733
0.12597455,-2.57374857
0.05120337,-2.40425867
0.08044079,0.69998449
0.13114895,0.90216087
0.07492196,1.67362645
0.12176431,-3.08742882
0.13791411,-2.69100841
0.07336335,-2.61315892
0.05434173,0.59361001
0.12451121,0.72713086
0.07902340,0.98664976
0.06739109,-3.12800653
0.12684574,-2.59003225
0.09574327,-2.46595566
0.01411856,0.75788218
0.09196223,0.91813575
0.08105700,1.31266772
0.08527747,2.78860226
0.12160891,-2.88273614
0.08788053,-2.74135203
0.02304873,1.26412002
0.11556962,0.82125723
0.11796289,0.93412528
0.05083797,1.93926318
0.08832808,-2.84278890
0.09763305,-2.45982193
0.02294375,-1.99874483
0.07134121,0.63785433
0.08726255,0.87901344
0.03631005,1.75335619
0.07227855,-2.80061368
0.08483735,-2.38214288
0.03096364,-1.84016042
0.07456960,0.37457849
0.11081487,0.58662772
0.06165162,0.81060291
0.03702513,-2.85582031
0.08639777,-2.45526671
0.06868300,-2.31470891
0.02649232,-0.09691763
0.08215138,0.54347759
0.06928957,0.64667233
0.00864315,2.50656591
0.06204736,-2.42720459
0.06181945,-2.17933836
0.03093493,-0.52722231
0.08704711,0.34104292
0.08530696,0.52127602
0.00963380,1.41814699
0.08167862,-2.64886604
0.10563667,-2.55983996
0.04586009,-2.66901670
0.05412783,0.77104509
0.09699443,0.76804343
0.06270210,0.81844398
0.01479125,2.87859791
0.05235471,-2.43789803
0.02653847,-1.36934125
0.08851389,0.25300659
0.13057501,0.38831871
0.08354561,0.38416937
0.03593318,-2.29489953
0.11270021,-2.26761488
0.10792125,-2.18986236
0.06719402,-0.97145636
0.11291288,-0.04542328
0.11801959,-0.04035076
0.06586146,-0.88780547
0.11615016,-1.78365139
0.13406781,-1.67753200
0.10838102,-0.83559517
0.15476135,-0.12097960
0.16024571,0.01714118
0.07509898,-0.24379594
0.06449877,-2.15407456
0.08192455,-2.54057154
0.02138326,2.39859328
0.13314831,0.89648496
0.17831764,0.93407270
0.12601128,1.23617883
0.10768814,2.51679688
0.13623771,3.13487232
0.07560092,2.95892286
0.09449400,1.06727394
0.15205110,0.89718390
0.09588098,1.29616926
0.12959982,3.02547442
0.18772893,-2.89022656
0.13945323,-2.90298335
0.03841188,1.40799873
0.14040213,0.81122268
0.12127262,0.86020475
0.05905154,2.73344356
0.15466826,-2.72084394
0.13438967,-2.45365816
0.03222130,-0.55016577
0.15216308,0.38229410
0.13741140,0.51253465
0.04513641,2.99912188
0.17688235,-2.67563025
0.16704105,-2.57973984
0.02746055,-1.45719360
0.15840536,0.48329351
0.19304196,0.50820410
0.05324881,0.92935851
0.13489333,-2.66033908
0.17467806,-2.36731341
0.07508402,-1.86015080
0.12409797,0.15107877
0.16046557,0.33365904
0.00632463,0.38588265
0.19278185,-2.57624754
0.22131007,-2.50239404
0.11486027,-2.34153936
0.09252183,0.26225970
0.18658092,0.42808945
0.09415719,0.50105400
0.11571127,-2.67369877
0.20124380,-2.45932024
0.12235560,-2.21070568
0.09253651,0.31173837
0.19350707,0.54074406
0.11566242,0.83915797
0.13459309,-3.01335646
0.21538911,-2.69125223
0.14242192,-2.56963714
0.07687634,0.35263747
0.22670613,0.49580133
0.20018058,0.49883570
0.02221764,2.72587876
0.17707986,-2.48671667
0.16370846,-2.17648247
0.06825991,-0.59841890
0.18266556,0.26783460
0.15813205,0.34738598
0.07088480,-2.58655303
0.23919225,-2.50834993
0.20543282,-2.38393017
0.05857751,-1.64588997
0.16331391,0.28060984
0.20842552,0.33758696
0.03077628,0.36503798
0.17746523,-2.51666529
0.20698597,-2.32866702
0.08011417,-1.92073900
0.13405656,0.35285548
0.18907881,0.49223601
0.04014645,1.27933952
0.18699978,-2.72525733
0.20076272,-2.56143202
0.07300714,-2.41120114
0.14570786,0.58138016
0.23653427,0.57361664
0.13363645,0.69614180
0.10386029,-2.93382402
0.19532243,-2.52134318
0.11879054,-2.28310090
0.08833946,0.38012146
0.18926439,0.55767632
0.11057785,0.79242377
0.12665488,-2.92151238
0.20754725,-2.60646892
0.13429383,-2.49645531
0.06289565,0.45192938
0.19915960,0.57117174
0.17481737,0.59991370
0.04464681,2.76794069
0.17773520,-2.58474062
0.16099919,-2.38273691
0.02376779,-0.58800260
0.15619244,0.60621196
0.15823698,0.77230563
0.08101148,2.40256122
0.18841950,-2.97069233
0.16198137,-2.91004889
0.07166453,2.46844787
0.16205121,1.05305176
0.20264008,0.89873677
0.10001150,1.54516092
0.13204555,-3.03461077
0.15795779,-2.56677256
0.05158924,-2.24553728
0.12866077,0.50184558
0.17907597,0.56304328
0.07426999,0.64547350
0.09641193,-2.53304500
0.13580472,-2.22616313
0.05676384,-1.70995616
0.14082181,0.52882324
0.21689789,0.73463488
0.14772172,1.03335298
0.08721355,2.67325027
0.14261353,-2.70263847
0.10456074,-2.41814982
0.06120677,0.08686792
0.16626181,0.49961042
0.14393624,0.49152882
0.02361565,-0.59230365
0.12047678,-1.94255325
0.13297810,-1.62866268
0.12439873,-0.55329433
0.19423327,0.08400243
0.18951437,0.10745620
0.09761726,-0.40489178
0.12002717,-1.71161463
0.14755888,-1.83443628
0.08970161,-1.46239338
0.10401111,-0.00880259
0.14361442,0.33384673
0.07218293,0.35223868
0.05542339,-2.47562342
0.11581944,-2.38973890
0.08336462,-2.40747141
0.04779760,0.19664425
0.12646136,0.53818462
0.10117545,0.57394731
0.02611051,-3.05029785
0.12789491,-2.51069111
0.13495732,-2.43590975
0.03883509,-1.59909066
0.10296069,0.26266449
0.12641203,0.31213106
0.04545619,-0.32811992
0.10575198,-2.08092208
0.14722766,-2.10012412
0.09464167,-1.69299150
0.10081424,-0.28728145
0.13616434,0.06594199
0.07372557,-0.19496010
0.08566350,-2.20446450
0.14136138,-2.39375697
0.10642597,-2.60323864
0.03560180,0.97566118
0.13105738,0.87641579
0.11752149,0.95253924
0.06534808,2.23503434
0.12158698,-3.13707461
0.11794229,3.06077220
0.08487844,1.83042597
0.17359875,1.15953344
0.18743248,1.19990505
0.14097708,1.94720239
0.17273080,2.81682499
0.16460370,3.03683216
0.06489808,2.32626329
0.15796977,0.77720163
0.21040361,0.54430008
0.12673415,0.40546096
0.04974053,-1.88905446
0.13263978,-1.93053647
0.11139716,-1.36888758
0.16398124,-0.20922156
0.20186314,0.02721651
0.11495889,-0.30412016
0.13421141,-1.95687649
0.20126437,-2.10856329
0.14698447,-1.90988162
0.11776305,-0.28043548
0.21502735,0.26274174
0.18722011,0.37869019
0.01723969,1.78485701
0.13651098,-2.71274489
0.13544575,-2.67915421
0.00671796,1.87530721
0.13959741,0.56471714
0.13499470,0.55903064
0.04669475,-3.13374968
0.18346238,-2.64312216
0.17212322,-2.52703196
0.03563098,-1.35324220
0.17839650,0.35648813
0.21869387,0.36651256
0.06910350,0.24626403
0.13570024,-2.34665280
0.18547043,-2.15660838
0.09668888,-1.55943318
0.15295474,0.16475506
0.19081166,0.42114745
0.03618008,1.19780860
0.18171270,-2.63557078
0.20274041,-2.47912362
0.08909459,-2.12002773
0.15190108,0.33661793
0.24538192,0.51840566
0.15680990,0.72673929
0.10385481,2.94281398
0.18697997,-2.79382565
0.12653967,-2.71807891
0.06577358,0.64517154
0.17197366,0.61517460
0.10074005,0.79568059
0.11907373,-2.88505167
0.21067522,-2.57866318
0.14191001,-2.35254489
0.07617970,0.01201865
0.20795879,0.39783906
0.18280171,0.44751997
0.03132912,2.73286358
0.16533833,-2.60060334
0.14367300,-2.41029331
0.03678300,-0.22082877
0.16144467,0.53827985
0.14035675,0.68003837
0.07959183,3.05405711
0.19728064,-2.68707720
0.15328266,-2.56551792
0.02175248,0.78539816
0.19206151,0.69290718
0.20746491,0.64261849
0.05821233,1.00286085
0.12312527,-2.49333255
0.15548641,-1.99177085
0.10604344,-0.78417713
0.20179486,0.15396013
0.21044042,0.20149110
0.05806035,-0.46787891
0.17196156,-2.16145693
0.20012925,-1.99515213
0.12825579,-1.38992124
0.16893482,-0.11951501
0.20525190,0.10277561
0.09785774,-0.22455482
0.13170319,-2.05372015
0.19457296,-2.02897260
0.12574504,-1.65974230
0.11617642,-0.15348815
0.16027918,0.24580994
0.05893133,0.19069242
0.13008272,-2.49499473
0.18438275,-2.36321684
0.10894369,-2.14667832
0.07929469,0.09714109
0.16918520,0.46703579
0.10224945,0.64565011
0.07640033,-2.84485583
0.16746104,-2.53812265
0.11524103,-2.34720596
0.04495777,0.46000464
0.14303364,0.73015075
0.11119682,1.07105535
0.10590169,2.94317981
0.16882254,-2.80097642
0.12218489,-2.66856196
0.02486538,0.80622848
0.14284130,0.76636144
0.13217777,0.90124790
0.07110747,2.53930533
0.14229190,-2.80315662
0.12107352,-2.55317059
0.00370319,-0.14888995
0.11616417,0.66809408
0.12404527,0.77704762
0.04332773,2.25741796
0.12179653,-2.69878937
0.11418880,-2.29038053
0.04199475,-1.05056855
0.12104319,0.30261415
0.13221480,0.43763118
0.02219273,0.47102755
0.10604976,-2.36718302
0.13257696,-2.06904079
0.06986017,-1.48156026
0.09514607,0.10024314
0.11636560,0.46153641
0.03288870,0.79327201
0.08103714,-2.52475791
0.11071014,-2.21892859
0.05842132,-1.70914730
0.07990569,0.22885999
0.11708374,0.60752291
0.06000597,0.95232051
0.06321894,-2.98453904
0.10777031,-2.56065875
0.07130360,-2.50014597
0.02864328,0.58977566
0.09322529,0.78262041
0.07379739,0.91736999
0.02141069,2.91735790
0.06165869,-2.32679116
0.04646405,-1.92495450
0.05268032,0.06957394
0.10220189,0.42277224
0.07810604,0.37441155
0.02892981,-1.41189107
0.10224830,-2.00320411
0.11529615,-1.90409835
0.07405410,-1.40686715
0.06985369,-0.21127642
0.07769824,0.12523192
0.03322949,-0.55743108
0.07172369,-1.81577499
0.09353821,-1.87087845
0.05821492,-1.70646570
0.03967725,-0.15756157
0.05058640,0.60005023
0.00671546,1.76284435
0.09085593,-2.64819730
0.13558184,-2.48836735
0.12203840,-2.51279637
0.04991011,-2.30688380
0.03361472,0.13111165
0.05699903,0.45215387
0.01523348,0.44751998
0.04616324,-2.84367700
0.07388367,-2.92426780
0.04481734,2.58645804
0.09037250,1.45096506
0.12586458,1.48777592
0.12990358,2.05461777
0.16027584,2.66312754
0.17621346,2.83002909
0.14562073,2.59405662
0.12409324,1.78642431
0.15821483,1.35501462
0.14104937,1.32424335
0.09729385,2.04791113
0.10196918,2.90227594
0.07896864,3.10680391
0.04254249,1.06286167
0.11724828,0.67474092
0.10011001,0.69473825
0.02593980,2.60843695
0.11923961,-2.66626974
0.12446232,-2.51604135
0.03600356,-1.40731988
0.12368471,0.32081423
0.16037121,0.40489182
0.06961713,0.48129282
0.07279004,-2.57312698
0.12562553,-2.30566992
0.06324997,-1.62003186
0.11924523,0.11387919
0.15302651,0.36717384
0.05694047,0.52552814
0.10783858,-2.71440306
0.15769094,-2.55036942
0.08791638,-2.35766727
0.09135645,0.23671439
0.17900827,0.43390807
0.11380761,0.54649006
0.06757021,-2.65976523
0.17914823,-2.48010125
0.14939180,-2.24764294
0.06619230,-0.75605240
0.13900494,0.01844323
0.10867375,-0.16930378
0.10101526,-2.16533480
0.16597228,-2.52788406
0.14506141,-3.11886929
0.12153858,1.99468069
0.18609651,1.36568190
0.16958427,1.28285592
0.12753905,2.42019647
0.20427161,-3.08867979
0.16600206,-2.92818807
0.05180005,1.92832578
0.19168440,0.82931852
0.20834345,0.79596335
0.08384807,1.81789362
0.16902350,-2.84588143
0.17000173,-2.50218454
0.06039696,-1.24041703
0.20422753,0.29849893
0.24252546,0.33464383
0.08855100,0.10357810
0.15210490,-2.22729932
0.20673684,-2.07961541
0.11513274,-1.64561653
0.14639474,0.07888241
0.19583983,0.32943817
0.05150924,0.46841706
0.17399915,-2.62662350
0.21594019,-2.57499350
0.10846761,-2.60464738
0.12406081,0.73632578
0.22836555,0.70479954
0.14890274,0.86897266
0.11723742,3.11347507
0.22267464,-2.66580882
0.15116647,-2.46174392
0.06543242,0.32175057
0.20082408,0.54120138
0.14347426,0.72399265
0.11356695,-3.03983833
0.22392865,-2.65856195
0.15952662,-2.49625504
0.06759006,0.21014726
0.23466952,0.49785215
0.22923055,0.47722304
0.02625585,1.16956754
0.17570744,-2.53248881
0.18123453,-2.25816085
0.06454580,-0.90403043
0.19359031,0.30948673
0.20611327,0.35097215
0.00405334,-1.89254688
0.19911524,-2.49974690
0.18762585,-2.31753976
0.05391431,-1.62516447
0.17758488,0.36480489
0.22870755,0.39879430
0.07127326,0.39004807
0.14889947,-2.44937367
0.20001176,-2.22766415
0.09781371,-1.72301867
0.15239560,0.21554110
0.21641991,0.36510846
0.08274695,0.32664905
0.14461114,-2.42788468
0.20579997,-2.26610418
0.12248706,-1.93936547
0.12876978,0.07971659
0.21984960,0.35204429
0.13480258,0.32346876
0.08921569,-2.36635380
0.20412382,-2.28954191
0.15252580,-2.11183348
0.07324923,-0.26559429
0.17733519,0.36976850
0.13736075,0.44218403
0.06346588,-2.68439655
0.19044431,-2.48847647
0.15382256,-2.31493734
0.03321536,-0.59717666
0.16411788,0.47512419
0.17134812,0.52868985
0.02401060,2.07196898
0.15965206,-2.57363190
0.16267849,-2.33072231
0.04582389,-1.67086259
0.13452433,0.40578545
0.17191739,0.49985678
0.03552024,0.88397869
0.13659410,-2.51900563
0.16534483,-2.27702019
0.08462544,-2.00637773
0.10322414,0.16573193
0.15657494,0.46835472
0.06323300,0.60005017
0.10721649,-2.69856858
0.16349725,-2.43308782
0.10961762,-2.39400150
0.04590284,0.27884759
0.14337081,0.59367024
0.10695473,0.77571325
0.05007510,3.08305156
0.13698127,-2.60254867
0.11199962,-2.43952772
0.01283868,0.05708078
0.12331221,0.65270790
0.12173264,0.76625160
0.03900953,2.23307456
0.11867193,-2.69312675
0.12840668,-2.51007044
0.03413192,-2.21537040
0.10195603,0.47167959
0.14122137,0.54375503
0.05369402,0.50941715
0.07358103,-2.32451494
0.12313017,-2.20418476
0.08127367,-2.11817087
0.04834132,0.00000000
0.10155419,0.50639799
0.05476857,0.68831715
0.06131678,-2.72336832
0.12138385,-2.54396691
0.10345775,-2.63122788
0.01528731,0.81928348
0.11980516,0.71509172
0.12238847,0.71657806
0.02867603,1.27933952
0.09171890,-2.63507588
0.12144019,-2.49417120
0.04158718,-2.32193999
0.07061205,0.51818117
0.10272677,0.64884865
0.02839107,1.45444116
0.11032726,-2.80147145
0.14526017,-2.72362432
0.08977485,-2.87534061
0.06200872,0.94265137
0.13821501,0.70474645
0.11313033,0.65224156
0.02316916,2.84483690
0.11822127,-2.48910791
0.10209258,-2.24945878
0.05987535,-0.31401378
0.15088896,0.34669739
0.13213426,0.41963139
0.01315981,-2.77142183
0.14038875,-2.44485037
0.14911717,-2.30233359
0.07458714,-1.26146749
0.15968796,0.01376060
0.19062846,0.13198025
0.08344482,-0.12762117
0.10670348,-2.15213557
0.15708251,-2.20310644
0.07988428,-1.84468796
0.10432333,0.20324748
0.15737264,0.51726995
0.06315235,1.08510302
0.13606728,-2.94657237
0.17882218,-2.71733801
0.09876885,-2.66384978
0.09653965,0.50267705
0.19697040,0.56066866
0.14253264,0.62114555
0.05816162,-3.07858469
0.16918530,-2.51605887
0.13425887,-2.29539992
0.06776420,-0.19580575
0.17010938,0.40729462
0.12764299,0.52270483
0.06879373,-2.90242414
0.18575992,-2.57327578
0.14836516,-2.43832113
0.04454871,-0.29185048
0.19492213,0.40353496
0.20304936,0.44267447
0.03111434,0.88962166
0.14809508,-2.56044865
0.16731582,-2.33762076
0.04984456,-1.37484168
0.15430515,0.38182855
0.17246428,0.50782041
0.02928518,1.97568813
0.18021375,-2.70293982
0.18079256,-2.53111561
0.04835415,-2.14304393
0.15485978,0.47263735
0.21440271,0.50452695
0.08453169,0.63007036
0.12657544,-2.61903721
0.18999385,-2.33370341
0.10285562,-1.87453081
0.12930455,0.15211100
0.19409123,0.38593730
0.07170312,0.52421419
0.14770845,-2.58522724
0.20497008,-2.41814044
0.11768173,-2.12642679
0.11010960,0.14518961
0.20839944,0.41608322
0.13562140,0.47693184
0.08442691,-2.72160661
0.19158492,-2.42653894
0.13570259,-2.16516114
0.07599197,-0.00481924
0.18074851,0.44960235
0.12580196,0.61788063
0.10026731,-2.93560133
0.20104601,-2.58289681
0.14313816,-2.38604985
0.05018078,0.01824615
0.18480224,0.48890822
0.16904761,0.56847387
0.04665740,2.86329300
0.17766086,-2.58932998
0.15410337,-2.29566248
0.04567143,-0.56242423
0.16789846,0.44657612
0.16584575,0.56901563
0.04357158,2.66102934
0.17755099,-2.63319194
0.15823698,-2.36928702
0.03922554,-1.04238588
0.15961330,0.45236025
0.18506649,0.58251423
0.04449561,1.66145621
0.15479936,-2.72769208
0.16160617,-2.39867095
0.04603231,-1.51507717
0.14472146,0.44610557
0.18109276,0.60931772
0.05523159,1.37730192
0.14554242,-2.80034597
0.16310848,-2.45159778
0.05825839,-1.97114831
0.12005300,0.42612256
0.17251987,0.58976884
0.06126426,1.12586312
0.12836412,-2.75393408
0.17084350,-2.44726608
0.08274715,-1.93034401
0.10930641,0.25919957
0.17255339,0.50874762
0.08565938,0.64435624
0.08515294,-2.71834656
0.15148342,-2.27404699
0.09363978,-1.71601194
0.11220764,0.05061034
0.17393093,0.43351071
0.09540244,0.64925917
0.08467020,-2.80206011
0.16158698,-2.45410906
0.11318056,-2.19649998
0.05879262,-0.02180340
0.14444723,0.57499352
0.11133710,0.83076862
0.06190048,2.82264846
0.12990436,-2.63695858
0.08972405,-2.26370550
0.05513467,0.21758826
0.14599039,0.60887639
0.12119351,0.78112474
0.05192740,2.69687022
0.13208033,-2.64445883
0.11031647,-2.35384709
0.02427379,-0.29073425
0.12955001,0.61466293
0.13340593,0.76016079
0.03950661,1.65432247
0.09255643,-2.53054252
0.10208355,-1.93964435
0.06446601,-0.48778524
0.13639623,0.43662715
0.13363759,0.66789319
0.03814032,1.62363172
0.10661090,-2.62415087
0.12759898,-2.22491702
0.06798848,-1.65438488
0.09023642,0.05684925
0.12493811,0.39411470
0.06664866,0.32435696
0.05114341,-1.78364008
0.10857435,-1.67046498
0.08392901,-1.06518120
0.09958767,0.08283585
0.11302581,0.50568229
0.04849437,0.73197314
0.06461641,-2.57638484
0.12264477,-2.27375466
0.10161410,-2.08927189
0.05156454,-0.82055955
0.09933365,0.20607213
0.09848072,0.29234728
0.04366268,-0.31114088
0.07090844,-1.65093521
0.09048355,-1.66402125
0.06483786,-0.94989024
0.08517814,-0.07100114

