height,period,angle_from_north
4.7,11.4,5.04400154
3.8,10.2,5.32325422
3.7,10.05,5.32325422
3.5,9.9,4.95673508
2.8,9.45,5.09636142
2.8,9.45,4.85201532
2.5,9.45,4.11897703
2.3,8.85,3.61283155
2.5,8.1,3.5081118
2.6,7.8,4.36332313
2.9,8.55,4.92182849
3.4,9.15,4.86946861
3,9,4.78220215
4,9.75,4.85201532
4.6,10.5,4.72984227
4.4,10.65,4.48549618
6.3,12.15,4.92182849
5.5,11.55,5.18362788
7,12.9,5.11381471
6.8,12.9,5.04400154
5.9,12,5.09636142
6.6,12.75,5.04400154
5.5,12.3,5.00909495
4.2,11.25,4.79965544
4,10.95,4.95673508
2.8,9.6,5.21853446
2.5,9,5.3581608
2.5,9,4.93928178
2.4,8.25,5.02654825
2.4,8.55,5.20108117
2.5,8.85,5.55014702
2.5,9.15,5.02654825
2.6,8.85,5.09636142
2.2,8.25,4.97418837
2.1,8.4,5.39306739
2.2,8.1,4.59021593
2.1,7.95,4.86946861
2.1,8.1,5.21853446
2.3,8.4,5.20108117
2.5,8.85,5.14872129
2.4,8.55,5.23598776
2.7,8.7,5.55014702
2.4,8.4,5.41052068
2.2,8.1,5.48033385
2.1,8.25,5.68977336
1.6,7.5,5.55014702
1.5,7.5,5.21853446
1.5,7.65,5.00909495
1.2,7.5,4.92182849
1.2,7.65,4.39822972
1.2,7.95,3.52556509
1.2,8.4,3.07177948
1.1,8.4,2.70526034
1,6.6,2.70526034
1.1,6,2.74016693
1.4,6.3,2.75762022
1.6,6.9,2.8099801
1.9,7.05,2.72271363
2.4,7.5,2.70526034
2.7,7.95,2.82743339
2.9,8.25,2.75762022
3.7,9.3,2.63544717
4.4,10.2,2.68780705
4.1,10.05,2.72271363
4.8,10.35,2.74016693
4.4,10.05,2.75762022
3.7,9.6,2.75762022
3.8,9.9,2.70526034
3.9,9.6,2.58308729
4.3,10.35,2.61799388
4.8,10.65,2.67035376
5.2,11.4,2.51327412
4.4,10.5,2.58308729
5.6,11.85,2.58308729
4.9,10.95,2.565634
4.9,11.25,2.91469985
4.2,10.8,3.07177948
4.1,10.65,3.12413936
3.8,10.5,3.15904595
3.7,10.05,3.17649924
3.9,10.2,3.64773814
