height,period,angle_from_north
0.4,6,4.6774824
0.3,6,4.86946861
0.3,6.15,4.81710874
0.3,6,5.07890812
0.3,6.3,4.99164166
0.3,6.3,4.97418837
0.3,5.85,4.72984227
0.3,5.7,4.99164166
0.3,6,4.81710874
0.3,5.55,5.74213324
0.3,6.15,0.05235988
0.3,6.45,0.15707963
0.3,6.6,4.62512252
0.3,7.95,5.131268
0.2,7.35,5.75958653
0.3,7.95,5.86430629
0.3,8.1,5.44542727
0.3,9.3,5.27089434
0.3,8.85,4.6600291
0.3,8.85,4.55530935
0.3,11.1,4.64257581
0.4,6.9,4.86946861
0.4,6.45,5.00909495
0.3,6.45,4.99164166
0.4,5.7,5.20108117
0.4,6.3,4.78220215
0.5,7.2,4.79965544
0.5,7.2,5.20108117
0.5,5.4,5.20108117
0.7,5.25,5.18362788
1,5.7,5.06145483
1,5.7,5.00909495
1.3,6.15,5.04400154
1.5,6.75,5.16617459
1.7,7.35,5.23598776
2.1,8.25,5.30580093
2.1,7.95,5.20108117
2,7.65,5.11381471
2.1,7.8,5.11381471
2.8,8.4,5.3581608
2.6,8.55,5.42797397
2.6,8.7,5.41052068
2.6,8.7,5.18362788
2.8,9,5.131268
3.1,8.85,5.25344105
3.5,9.6,5.23598776
3.2,9.3,5.30580093
3.2,9.45,5.46288056
2.9,9.45,5.48033385
2.8,9.3,5.34070751
3.2,9.3,5.34070751
2.9,9.15,5.41052068
2.7,9.3,5.28834763
2.5,9.3,5.14872129
2.3,8.85,5.14872129
2.7,9,5.00909495
2.9,8.7,4.99164166
2.7,8.85,5.131268
2.8,9,5.34070751
2.7,8.7,5.27089434
3,9,5.74213324
2.9,8.7,5.72467995
3.7,9.75,5.98647933
4.3,10.5,5.89921287
4.1,10.35,6.02138592
3.8,10.35,5.91666616
3.4,10.2,5.86430629
3.1,9.9,5.65486678
3.5,10.5,5.84685299
3.2,9.75,5.79449312
3.3,10.2,5.77703982
3.3,10.65,5.6025069
2.8,9.9,5.20108117

